Name,Award,Cuisine,Price,RW Brunch,RW Lunch,RW Dinner,Address,URL,Michelin URL,Restaurant Week 2024,Best Desserts DC,Hours
Bresca,1 star,Contemporary,$$$$,$25,$25,$55,"1906 14th Street NW, Washington, DC 20009",https://www.brescadc.com/,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/bresca,Yes,No,"Closed Mon/Tues, open 5:30pm-9:30pm"
Gravitas,1 star,Contemporary,$$$$,$35,$35,$65,"1401 Okie St. NE, Washington, 20002",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/gravitas,Yes,Yes,Open 5PM-10PM
Xiquet,1 star,Spanish,$$$$,,,$65,"2404 Wisconsin Ave. NW, Washington, 20007",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/Xiquet,Yes,Yes,Open 5PM-10PM
Dauphine's,Bib Gourmand,Creole,$$,$35,,$55,"1100 15th St. NW, Washington, 20005",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/dauphine-s,Yes,No,
Ivy City Smokehouse,Bib Gourmand,Seafood,$$,,,$40/$65,"1356 Okie St NE, Washington, DC 20002",tavern.ivycitysmokehouse.com/,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/ivy-city-smokehouse,Yes,No,
Laos in Town,Bib Gourmand,South East Asian,$$,,,$40/$55,"250 K St. NE, Washington, 20002",laosintown.com/,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/laos-in-town,Yes,No,Open 11AM-10PM
Makan,Bib Gourmand,Malaysian,$$,,,$40,"3400 11th St. NW, Washington, 20010, USA",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/makan,Yes,No,
Maketto,Bib Gourmand,Asian,$$,$25,$25,$40,"1351 H St. NE, Washington, 20002, USA",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/maketto,Yes,No,
Sababa,Bib Gourmand,Mediterranean,$$,$25,,$40/$55,"3311 Connecticut Ave. NW, Washington, 20008, USA",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/sababa,Yes,No,
Albi,1 star,Middle Eastern,$$$$,,,,"1346 4th St. SE, Washington, 20003, USA",,,No,No,
Causa,1 star,Peruvian,$$$$,,,,"920 Blagden Alley NW, Washington, 20001, USA",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/causa,No,No,"Closed Mon/Tues, open 5pm-12am"
Elcielo D.C.,1 star,Columbian,$$$$,,,,"1280 4th St. NE, Washington, 20002, USA",,,No,No,
Fiola,1 star,Italian,$$$$,,,,"601 Pennsylvania Ave. NW, Washington, 20004",,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/fiola,No,No,
Imperfecto: The Chef's Table,1 star,Latin American,$$$$,,,,"1124 23rd St. NW, Washington, 20037, USA",,,No,No,
Kinship,1 star,Contemporary,$$$,,,,"1015 7th St. NW, Washington, 20001, USA",,,No,No,
Little Pearl,1 star,Contemporary,$$$,,,,"921 Pennsylvania Ave. SE, Washington, 20003, USA",https://www.littlepearldc.com/,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/little-pearl,No,No,
Masseria,1 star,Italian,$$$$,,,,"1340 4th St. NE, Washington, 20002, USA",,,No,No,
Maydān,1 star,Middle Eastern,$$$,,,,"1346 Florida Ave. NW, Washington, 20000, USA",,,No,No,
Métier,1 star,Contemporary,$$$$,,,,"1015 7th St. NW, Washington, 20001, USA",,,No,No,
Oyster Oyster,1 star,Vegetarian,$$$,,,,"1440 8th St., Washington, 20001, USA",,,No,No,
Rania,1 star,Indian,$$$$,,,,"427 11th St. NW, Washington, 20004, USA",,,No,No,
Reverie,1 star,Contemporary,$$$$,,,,"3201 Cherry Hill Ln.NW, Washington, 20007, USA",,,No,No,
